"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"14167","ACTG1",-1.73425992063492,-1.30140127388535,-24.3451339003021,1.69374031685296e-55,3.27755688714216e-51,115.608651106509
"9520","ACTB",-2.67048412698412,-1.87350318471338,-21.7659720607694,1.52925294556143e-49,1.47962868747796e-45,102.103452673344
"17527","ACTB",-2.73982582582582,-1.83660256410256,-21.3571730002727,1.97699732714085e-48,1.27522917591675e-44,99.5779193114839
"6240","CFL1",-1.98965476190476,-1.24203821656051,-20.3513691077852,4.03029747631498e-46,1.52074308572667e-42,94.3296541802204
"1566","TXNIP",-2.66006493506494,-1.90115384615385,-20.3776460536423,4.6133838647751e-46,1.52074308572667e-42,94.1900517178733
"12543","ACTG1",-0.996522522522521,-0.701730769230769,-20.3571779224908,5.17678632351029e-46,1.52074308572667e-42,94.0823239910738
"5117","PFN1",-1.21427182539682,-0.82312101910828,-20.2964084398515,5.50111188056776e-46,1.52074308572667e-42,94.022397009679
"3069","IL32",-1.51218650793651,-0.958535031847134,-20.2290338220001,8.05945334565839e-46,1.94948102114794e-42,93.6452098403693
"9463","ACTB",-2.72729761904762,-1.60025477707006,-19.9801971772299,3.31890065001464e-45,7.13600516427037e-42,92.2470863170905
"15751","ATP8",-1.40459126984127,-0.910445859872612,-19.4951746881279,5.354377126984e-44,1.03612551784267e-40,89.4992216648408
"17237","ACTB",-2.61455357142857,-1.43515923566879,-19.4426992761934,7.24650698344998e-44,1.27479233306128e-40,89.200138782623
"86","ACTB",-2.4980505050505,-1.77503225806452,-19.1495864245855,6.55599568219832e-43,1.05720893705183e-39,87.0242869256784
"5250","PIGL",0.913732142857143,-0.0621656050955414,18.997412597409,9.5760050276058e-43,1.42542517914769e-39,86.6483338901361
"13706","LTA",1.12079365079365,0.0873248407643312,18.760540145053,3.81753652316109e-42,5.2766535185493e-39,85.2808460821195
"23","ACTB",-2.5910404040404,-1.55258064516129,-18.8054422161309,4.784327219179e-42,6.17210106788885e-39,85.0593338949769
"18103","KRT3",0.934339285714285,0.00853503184713376,18.4775880587618,2.00925583617034e-41,2.43006935535827e-38,83.638317679583
"17779","C22orf30",0.864648809523809,0.0781528662420382,18.3153492312547,5.2292619419198e-41,5.95243810812295e-38,82.6921463452928
"6300","LSP1",-1.44065277777778,-0.883949044585987,-18.3013404281911,5.68031202372478e-41,6.10665099839435e-38,82.6102989746706
"6198","ARHGDIB",-1.2307242063492,-0.720191082802548,-18.255367014133,7.45351935660693e-41,7.59121331945793e-38,82.3415310507226
"13676","MEOX2",0.933517857142857,-0.0660509554140127,18.2030541840523,1.01566534087653e-40,9.82707000565089e-38,82.0353945899878
