"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","PDSS2",2.03672619047619,1.19961538461538,9.51419792052435,3.91537703931879e-13,6.075899044736e-12,19.7077046136517
"2","RAB39",2.09463709677419,1.50531914893617,7.7634255064952,4.44031041616476e-10,4.30267635769676e-09,12.884409393219
"3","DAZL",2.38258823529412,0.590909090909091,7.8414574555241,4.57786888802899e-08,3.15478421838493e-07,8.49106786708204
"4","TMEFF1",2.48409090909091,0.957037037037037,6.48810486234685,4.2598620395249e-07,2.45481210026344e-06,6.46647004039697
"5","LRRC4C",2.20485380116959,1.57392857142857,5.58194170321574,4.54105562444116e-06,2.14222251069139e-05,4.18969109085841
"6","NR2E3",2.34052631578948,0.362380952380952,5.96687135230292,4.44473527562706e-06,2.10036806638973e-05,4.00341640824754
"7","GPR98",3.075,1.005,5.94455502529371,6.92793199933926e-05,0.000251665875951218,1.85983070620985
"8","TRPC5",2.44333333333333,1.13214285714286,4.82713568550495,0.000187910445174428,0.000614128529736592,0.944482550884088
"9","C20orf96",3.15625,1.82,5.30121293121494,0.000191549711768695,0.000624756189522337,0.825314558481216
"10","C1orf201",3.362,1.71,2.97000129412276,0.00708379474212535,0.0156108087979578,-2.62774178385768
